main_ingredients,estimated_cooking_time_minutes,ingredient_count,complexity_score,difficulty
"jaggery,dry coconut (kopra),poppy seeds,cardamom powder (elaichi),chana dal (bengal gram dal)",45,5,0,1
"salt,parmesan cheese,reserved water from boiling pasta,pasta wheat,milk,water,virgin olive oil,cloves garlic flakes,onion,black pepper powder,button mushrooms,butter,cauliflower (gobi) florets,dried oregano",50,14,2,5
"tomato,salt,mustard seeds,red chilli powder,cloves garlic,green chillies,sunflower oil",30,7,0,1
"coconut milk,salt,ginger,green chilli,tamarind water,cloves garlic,curry leaves,dry red chillies,onion,lemon,coconut oil,seer fish,turmeric powder",45,13,1,4
"tomato,salt,cumin powder (jeera),ginger,hung curd (greek yogurt),white pepper powder,paprika powder,mint leaves (pudina),mixed vegetables (cauliflower,water per,kabuli chana (white chickpeas),coriander (dhania) leaves,lemon,lemon,black pepper powder,coriander powder,quinoa,sunflower oil",55,18,0,4
"salt,wheat flour,sunflower oil,bay leaves (tej patta),cloves (laung) cloves,black pepper corns,milk,mint leaves (pudina),water,onion,cumin seeds (jeera),cinnamon stick (dalchini),lemon,black pepper powder,ginger paste,green chillies,mutton on the,garlic paste",30,18,1,5
"tomato,salt,achari mayo,ginger,garam masala powder,green chilli,mustard seeds,asafoetida (hing),carrot,nutralite classic,crusty bread log,onion,cloves (laung) garlic,cabbage (patta gobi muttaikose)",40,14,0,3
"tomato,salt,coriander (dhania) leaves,red chilli powder,dry coconut (kopra),water,ginger garlic paste,onion,mutton,coriander powder,turmeric powder,kasuri methi (dried fenugreek leaves),garam masala powder,sunflower oil",60,14,1,4
"corn flour,pistachios,milk,rose water,water,ricotta cheese,sugar,lemon,kunafa dough (strands),butter",70,10,2,4
"lemon,pineapple,ginger,mint leaves (pudina),virgin olive oil,dry red chilli,orange juice,salt regular salt,fruits like pomegranate strawberries topping",205,9,0,2
"butterapproximately,salt,baking powder eggs,milk,water,sugar,caster sugar,flour (maida),cinnamon powder (dalchini)",30,9,2,3
"salt,cumin powder (jeera),potato (aloo),black pepper powder,butter",20,5,1,1
"salt,green beans (french beans),green chilli,virgin olive oil,cherry tomato (or large tomato,lemon,pepper,red onion,sweet potatoes",35,9,0,1
"salt,ginger,garam masala powder,hung curd (greek yogurt),amchur (dry mango powder),potato (aloo),red chilli powder,cloves garlic,gram flour (besan),coriander (dhania) leaves,lemon,black pepper powder,coriander powder,green chillies,kala chana (brown chickpeas),sunflower oil",55,16,0,4
"salt,ginger,green brinjal (green aubergine) four,cardamom (elaichi) podsseeds,bay leaf (tej patta),cloves garlic,dry red chillies,cinnamon stick (dalchini),lemon,cumin seeds (jeera),onion,black pepper powder,turmeric powder,cloves (laung),sunflower oil",40,15,0,3
"tomato,cumin powder (jeera),coriander (dhania) leaves,virgin olive oil,jalapenos,onion,black pepper powder,black beans canned,salt,pineapple,red chilli sauce sriracha,black olives,beetroot,walnuts,avocado ripened,brown rice,jaggery coconut sugar,apple cider vinegar vinegar,red chilli powder,iceberg lettuce,lemon,tomato ketchup,maple syrup,wheat bread crumbs",80,24,0,5
"tomato,salt,cumin powder (jeera),arhar dal (split toor dal),tamarind water,mustard seeds,ghee,asafoetida (hing),red chilli powder,cloves garlic,curry leaves,sugar,coriander (dhania) leaves,cumin seeds (jeera),coriander (dhania) powder,black pepper powder,turmeric powder",40,17,1,5
"salt,ginger,arhar dal (split toor dal),chana dal (bengal gram dal),green chilli,coconut,asafoetida (hing),mustard seeds,sunflower oil the bonda,curry leaves,white urad dal (split),coriander (dhania) seeds,dry red chillies,curd sour,sunflower oil",50,15,0,3
"green chilli,amchur (dry mango powder),asafoetida (hing),mustard seeds,mustard oil,ridge gourd (turai peerkangai),red chilli powder,cloves garlic,onion,methi seeds (fenugreek seeds),cumin seeds (jeera),coriander powder,turmeric powder,kala chana (brown chickpeas)",545,14,0,4
"coconut,mustard seeds,cloves garlic,dry red chilli,curry leaves,white urad dal (split),coriander (dhania) seeds,onion,cumin seeds (jeera),dry red chillies,mangalorean cucumber,sunflower oil",30,12,0,2
"tomato,salt,spinach,paneer,pepper salt,cloves garlic,basil leaves,red chilli flakes,onion,garlic,green bell pepper (capsicum),button mushrooms,butter,sunflower oil",60,14,3,5
"salt,coriander (dhania) leaves,paneer,cloves garlic,sugar,dry red chillies,onion,vinegar,cumin seeds (jeera),sunflower oil",25,10,1,3
"tomato,salt,green chilli,tamarind water,asafoetida (hing),mustard seeds,cloves garlic,curry leaves,coriander (dhania) leaves,cumin seeds (jeera),cloves garlic mortar pestle,pepper,sunflower oil",25,13,0,2
"salt,tamarind water,coconut,asafoetida (hing),mustard seeds,jaggery,curry leaves,mango,white urad dal (split),dry red chillies,sesame seeds (til seeds),methi seeds (fenugreek seeds),cumin seeds (jeera),coconut oil,turmeric powder,chana dal (bengal gram dal)",35,16,0,4
"wheat brown bread,cumin powder (jeera),coriander (dhania),salt,anardana powder (pomegranate seed powder),chaat masala powder,sweet chutney (date tamarind),sev topping,virgin olive oil toasting the bread,onion,baked beans,green chutney (coriander mint),potato (aloo),green chillies",55,14,0,3
"idli dosa batter,green chillies,ginger,coriander (dhania),salt,chaat masala powder,curry leaves,lahsun ki chutney (red garlic chutney),onion,potato (aloo),turmeric powder,potato masala,sunflower oil",55,13,0,3
"tomato,salt,cashew nuts,ginger,sweet potato skin,green chilli,cumin powder (jeera),red chilli powder,cloves garlic,onion,broccoli,tofu,turmeric powder,garam masala powder,kala jeera",40,15,3,5
"salt,tawa paratha rotis leftover,chaat masala powder,red chilli powder,sunflower oil",45,5,0,1
"garlic cloves,salt,mustard seeds,coconut,curry leaves,coriander (dhania) leaves,dry red chillies,red yellow green bell pepper (capsicum),onion,peanuts (moongphali),cumin seeds (jeera),sunflower oil",63,12,0,2
"salt,spring onion greens,corn flour,ginger,eggs,sesame (gingelly) oil,soy sauce,cloves garlic,red chilli sauce,tomato ketchup,onion,vinegar,brown sugar (demerara sugar),chicken breasts bless,green chillies,sunflower oil",50,16,2,5
"ginger,black peppercorns,water,lemon",7,4,0,1
"salt,vegetable stock,leek,water,red chilli flakes,virgin olive oil,onion,cumin seeds (jeera),potato (aloo)",70,9,0,1
"salt,black pepper powder ground,ginger,boneless chicken,hung curd (greek yogurt),paprika powder,cloves garlic,virgin olive oil,tomato ketchup,onion,lemon,thyme leaves,green bell pepper (capsicum),dried oregano",420,14,1,5
"salt,mustard oil,bay leaf (tej patta),gram dal (pottukadalai),red chilli powder,dry red chilli,curd,poppy seeds,panch phoran masala,coriander powder,turmeric powder,bhindi (lady fingerokra) piece",25,12,0,2
"salt,sunflower oil,rice,red chilli powder,red chilli flakes,ginger garlic paste,sugar,coriander (dhania) leaves,onion,cumin seeds (jeera),thyme leaves,rajma (large kidney beans),soy (nuggets),red chilli sauce,dried oregano",105,15,0,3
"salt,sunflower oil,coriander (dhania) leaves,red chilli powder,cloves garlic,onion,chicken,parsley leaves,rajma (large kidney beans),turmeric powder,kasuri methi (dried fenugreek leaves),dried oregano",25,12,1,3
"papad (masala papad),tomato,cumin powder (jeera),ginger,salt,bay leaf (tej patta),ghee,potato (aloo),red chilli powder,dry red chilli,sugar,cumin seeds (jeera),turmeric powder,garam masala powder,sunflower oil",65,15,1,4
"coriander (dhania) leaves,ajwain (carom seeds),onion,cumin seeds (jeera),turmeric powder,salt,green chilli,sunflower oil ghee,baking soda,kasuri methi (dried fenugreek leaves) between fingers,garam masala powder,red chilli powder,water,green peas (matar) peas,cheese,ginger,amchur (dry mango powder),vivatta maida,sunflower oil brush,coriander powder,potato (aloo)",60,21,2,5
"salt,rice,mustard seeds,white urad dal (split),onion,tamarind paste,mint leaves (pudina),green chillies,sunflower oil",50,9,0,1
"pineapple,dates seedless,raisins,water,salted butter,baking soda,vanilla,eggs,flour (maida)",65,9,2,3
"tomato,black cardamom (badi elaichi),cumin powder (jeera),ginger,salt,mustard oil,bay leaf (tej patta),asafoetida (hing),coriander (dhania) leaves,red chilli powder,cloves garlic,curd,onion,cinnamon stick (dalchini),jackfruit (kathal),coriander powder,potato (aloo),garam masala powder",50,18,0,4
"tomato,salt,pav bhaji masala,cumin powder (jeera),boiled eggs,green chilli,coriander (dhania) leaves,red chilli powder,cloves garlic,onion,cumin seeds (jeera),coriander powder,eggs,turmeric powder,butter",45,15,3,5
"salt,mustard oil,asafoetida (hing),punjabi style mango pickle,coriander (dhania) leaves,jaggery,red chilli powder,cloves garlic,dry red chillies,onion,cumin seeds (jeera),potato (aloo),turmeric powder,garam masala powder",30,14,0,3
"ghee,fennel seeds (saunf),ajwain (carom seeds),black peppercorns,dry ginger powder,coriander (dhania) seeds,cumin seeds (jeera),caster sugar",15,8,1,2
"tomato,salt,amchur (dry mango powder),paneer,spinach leaves (palak),red chilli powder,cloves garlic,onion,cumin seeds (jeera),green chillies,butter,garam masala powder,sunflower oil",45,13,2,4
"salt,bok choy,spring onion (bulb greens),cloves garlic,dark soy sauce,red chilli sauce,button mushrooms,lotus stem,cabbage (patta gobi muttaikose),sunflower oil",25,10,1,3
"tomato,salt,ginger,parangikai pumpkin,coriander (dhania) leaves,red chilli powder,cloves garlic,onion,badi (wadi),cumin seeds (jeera),coriander powder,turmeric powder,green chillies,sunflower oil",65,14,0,3
"tomato,black cardamom (badi elaichi),salt,green chilli,ghee,milk,red chilli powder,dry ginger powder,cinnamon stick (dalchini),cumin seeds (jeera),rajma (large kidney beans),ginger julienne,black urad dal,cloves (laung),garam masala powder",40,15,1,4
"tomato,coriander (dhania),salt,ginger,bay leaf (tej patta),ghee,red chilli powder,cloves garlic using mortar pestle,dry ginger powder,onion,rajma (large kidney beans),black pepper powder,coriander powder,turmeric powder,garam masala powder",320,15,1,5
"salt,muesli,cocoa powder,nendra pazham banana (ripe) angles,butter",20,5,1,1
"salt,corn flour,hung curd (greek yogurt),nutmeg powder,raisins,vanilla,brown sugar (demerara sugar),flour (maida),butter,cinnamon powder (dalchini)",95,10,1,3
"salt,orange,mustard sauce,carrot spiralized noodles,virgin olive oil,apple cored spiralized noodles,orange juice,lemon,black pepper powder,mint leaves (pudina),beetroot spiralized noodles,sesame seeds (til seeds),walnuts",15,13,0,2
"green chilli,kosher salt,mango (ripe),mint leaves (pudina),lemon,rajma (large kidney beans),tomato after removing the seeds",10,7,0,1
"salt,vegetable stock,avocados ripened,sour,coriander (dhania) leaves,corn flour tortilla,virgin olive oil,jalapenos green chillies,black peppercorns,white vinegar,sugar,garlic,onion,lemon",25,14,0,3
"salt,soybeans (whole soya dal),idli rice,methi seeds (fenugreek seeds),chana dal (bengal gram dal),white urad dal",480,6,0,1
"wheat brown bread,salt,ginger,coriander (dhania) leaves,paneer,potato (aloo),curd,onion,cumin seeds (jeera),sooji (semolina rava),rice flour,green chillies,sunflower oil",30,13,1,4
"amaranth seeds (rajgira),tahini,dried figs,carrot,basil leaves,beetroot,sesame seeds (til seeds)",35,7,1,2
"tomato,salt,kashmiri red chilli powder,cardamom (elaichi) podsseeds,paneer,bay leaf (tej patta),ghee,coriander (dhania) leaves,curd,rose (dried),coriander (dhania) seeds,onion,cinnamon stick (dalchini),cloves (laung),garam masala powder",25,15,2,5
"cumin powder (jeera),coriander (dhania) leaves,asafoetida (hing),ajwain (carom seeds),cumin seeds (jeera),turmeric powder,green chillies,sunflower oil,salt,raisins,dry red chillies,garam masala powder,khoya (mawa),coconut,mustard seeds,red chilli powder,curd,cashew nuts,bay leaf (tej patta),gram flour (besan),coriander powder",60,21,1,5
"salt,asafoetida (hing),ghee,barnyard millet,cumin seeds (jeera),buttermilk,turmeric powder",70,7,2,3
"tomato,colocasia leaves (arbi),salt,kashmiri red chilli powder,sunflower oil,cloves garlic,coriander (dhania) leaves,onion,panch phoran masala,coriander powder,turmeric powder,garam masala powder,tamarind lemon",30,13,0,2
"salt,wheat flour,achari masala,parangikai pumpkin,mustard seeds,asafoetida (hing),green peas (matar),red chilli powder,potato (aloo),turmeric powder,garam masala powder",70,11,0,2
"salt,sunflower oil,spinach,flour (maida),cloves garlic,red chilli powder,onion,potato (aloo),dried oregano",30,9,0,1
"salt,wheat flour,coriander (dhania),cumin powder (jeera),ajwain (carom seeds),chaat masala powder,green peas (matar),water,carrot,red chilli powder,onion,ghee the parathas,coriander powder,green chillies",50,14,1,4
"tomato,salt,sunflower oil,asafoetida (hing),brinjal (baingan eggsplant),mustard seeds,potato (aloo),red chilli powder,water,curry leaves,dry red chilli,white urad dal (split),methi seeds (fenugreek seeds),turmeric powder,sambar powder,tamarind lemon",70,16,1,4
"salt,black salt,sweet corn on the cob,chaat masala powder,lemon",20,5,0,1
"salt,hung curd (greek yogurt),britannia cheese four pepper tango,mixed herbs (dried),britannia cheese cubes,cloves garlic,parsley leaves,jalapenos,eggs,potato (aloo),wheat bread crumbs,sunflower oil",70,12,3,5
"almond butter,baking powder,salt,eggs,chocolate ganache chocolate,baking soda,vivatta maida,sugar,almond meal (badam powder),almonds (badam),bananas (over ripe),vanilla almond,cinnamon powder (dalchini)",35,13,5,5
"salt,ginger,dill leaves,coconut,asafoetida (hing),carrot,onion,cumin seeds (jeera),green bell pepper (capsicum),rice flour,green chillies,cabbage (patta gobi muttaikose),sunflower oil",55,13,0,3
"salt,wheat flour,baking powder,coconut,milk,baking soda,vanilla,brown sugar (demerara sugar),custard powder,sunflower oil",60,10,0,2
"baking powder,wheat flour,sunflower oil ghee,baking soda,vanilla,brown sugar (demerara sugar),dates,instant oats (oatmeal) (instant variety)",45,8,1,2
"tomato,basmati rice,green chillies,ginger,salt,coriander (dhania),bay leaves (tej patta),cardamom (elaichi) podsseeds,fennel seeds (saunf),pearl onion (sambar onion) kept,green peas (matar),cloves garlic,cinnamon stick (dalchini),mint leaves (pudina),turmeric powder,cloves (laung),sunflower oil",105,17,0,4
"salt,wheat flour,jowar flour (sorghum),ghee,methi leaves (fenugreek leaves),cloves garlic,dry yeast,curd,sugar",155,9,1,3
"basmati rice,cumin powder (jeera),asafoetida (hing),black cardamom,black peppercorns,cloves garlic,onion,turmeric powder,green chillies,salt,mustard oil,cardamom (elaichi) podsseeds,ginger y,red chilli powder,mixed vegetables mix potato,curd,lemon,bay leaf (tej patta),ghee,cinnamon stick (dalchini),coriander powder,cloves (laung)",40,22,1,5
"salt,green bell peppers,corn flour,cloves garlic,carrot,soy sauce,broccoli,chicken breasts,sunflower oil",25,9,2,3
"gram flour (besan) (besan),salt,mustard seeds,asafoetida (hing),water,curd,curry leaves,dry red chillies,onion,cumin seeds (jeera),turmeric powder,green chillies,kala chana (brown chickpeas),sunflower oil",55,14,0,3
"tomato,yellow bell pepper (capsicum),cumin powder (jeera),sour,paprika powder,cloves garlic,onion,rajma (large kidney beans),black pepper powder,turmeric powder,salt,red bell pepper (capsicum),tomato salsa,thyme leaves,cinnamon powder (dalchini),tortillas,rice,red chilli powder,sugar,chicken,cheese,ginger,green bell pepper (capsicum)",50,23,2,5
"yellow bell pepper (capsicum),salt,hung curd (greek yogurt),english cucumber,parsley leaves,tzatziki,onion,lemon,tofu,cherry tomato",15,10,1,3
"tomato,salt,ginger,bay leaves (tej patta),ghee,black pepper corns,milk,cloves garlic,dry red chillies,onion,badam (almond),cinnamon stick (dalchini),cloves (laung),mutton on the",30,14,3,5
"salt,wheat flour,milk,dry yeast,flour (maida),butter",100,6,1,1
"tomato,pizza pasta sauce,red bell pepper (capsicum),garlic salt,mixed herbs (dried),mozzarella cheese,virgin olive oil,basil leaves chiffonade,pizza base wheat,fresno pepper,parmesan cheese,eggs",50,12,4,5
"salt,mustard seeds,coconut,jaggery,cloves garlic,curry leaves,dry red chillies,tamarind,coconut oil,sesame seeds (til seeds),gawar phali (kothavarangai cluster beans) snapped",35,11,0,2
"tomato,cumin powder (jeera),virgin olive oil,cloves garlic,onion,dried oregano (or dried),cumin seeds (jeera),dried oregano,salt,wheat flour,thyme leaves (or dried),green zucchini,wheat bread crumbs (oats will also do),red chilli powder,parsley leaves,lemon,pepper,button mushrooms,kala chana (brown chickpeas),basil leaves",55,20,2,5
"tomato,tinda (apple gourd),salt,green chilli,cloves garlic using pestle mortar,red chilli flakes,coriander (dhania) leaves,dry red chillies,cumin seeds (jeera),sunflower oil",30,10,0,1
"salt,red chillies,asafoetida (hing),mustard seeds,methi powder (fenugreek powder),gingelly oil,tamarind paste",20,7,0,1
"salt,corn flour,asafoetida (hing),mustard seeds,red chilli powder,green peas (matar),gram flour (besan),soda,cumin seeds (jeera),coriander powder,potato (aloo),turmeric powder,sambar powder,garam masala powder,sunflower oil",30,15,0,3
"cheese,britannia,butter cold,sugar,vanilla,icing sugar ( ml),instant oats (oatmeal),flour (maida),butter,carrot cake recipe leftover,walnuts",60,11,3,5
"salt,asafoetida (hing),mustard seeds,red chilli powder,curry leaves,bhindi (lady fingerokra),sambar powder",50,7,0,1
"idli dosa batter,salt,coconut,turmeric powder,banana",40,5,0,1
"salt,nutmeg powder,coconut,ghee,cardamom (elaichi) podsseeds,pistachios,jaggery,raisins,water,poppy seeds,badam (almond),rice flour,chironji",65,13,2,5
"salt,red chilli powder,water,ginger garlic paste,gram flour (besan),coriander (dhania) leaves,cabbage (patta gobi muttaikose),sunflower oil",30,8,0,1
"salt,green bell peppers,phulka vivatta wheat flour,mexican (or cumin powder,green zucchini,onion,button mushrooms,sunflower oil",30,8,1,2
"salt,wheat flour,red bell pepper (capsicum),tme leaves,eggs,capers,virgin olive oil,cloves garlic,red chilli flakes,pepper,flour (maida),dried oregano",60,12,1,3
"salt,cumin seeds (jeera),rice,ghee",30,4,1,1
"salt,herbs cilantro),black peppercorns ground,lemon,butter (salted),broccoli smer florets",17,6,2,2
"salt,green beans (french beans),yellow moong dal (split),green chilli,mustard seeds,coconut,asafoetida (hing),curry leaves,dry red chillies,sunflower oil",35,10,0,1
"mixed fruits,salt,peanut butter,maple syrup sugar,vanilla,cocoa powder,buckwheat flour (kuttu ka atta),chocolate chips,flax seed powder (flax meal),oats flour",30,10,1,3
"salt,(or nondairy,bananas,corn flour,heavy whipping cream,eggs,),milk,water,vanilla,caster sugar,cocoa powder,flour (maida),icing sugar,butter",315,15,3,5
"tomato,cumin powder (jeera),asafoetida (hing),coriander (dhania) leaves,onion,cumin seeds (jeera),cardamom powder (elaichi),turmeric powder,sunflower oil,salt,green chilli,sunflower oil ghee,raisins,flour (maida),garam masala powder,coconut,red chilli powder,water,jackfruit (kathal),cinnamon stick (dalchini),ginger paste",60,21,1,5
"lemon,basmati rice,chaat masala powder,cloves garlic,carrot,black peppercorns,coriander (dhania) seeds,onion,cumin seeds (jeera),black pepper powder,turmeric powder,green chillies,sunflower oil,salt,red yellow green bell pepper (capsicum),star anise,red chilli powder,water,dry red chilli,ginger,bay leaves (tej patta),ghee,amchur (dry mango powder),cinnamon stick (dalchini),potato (aloo),cloves (laung)",50,26,1,5
"salt,ginger,coconut,arrowroot flour,red chilli powder,sugar,lemon,peanuts (moongphali),potato (aloo),green chillies,sunflower oil",40,11,0,2
"tomato,black cardamom (badi elaichi),green chillies,ginger,salt,cardamom (elaichi) podsseeds,bay leaf (tej patta),curd,onion,mutton,coriander powder,turmeric powder,cloves (laung),garam masala powder,sunflower oil",45,15,1,4
"tomato,salt,cumin powder (jeera),pomfret fish,sunflower oil,garam masala powder,coriander powder,red chilli powder,curd,coriander (dhania) leaves,dry red chillies,cinnamon stick (dalchini),lemon,cumin seeds (jeera),onion,ginger paste,turmeric powder,star anise,garlic paste",55,19,1,5
"cashew nuts,salt,wheat (dalia godumai rava),mustard seeds,puliodarai powder,curry leaves,peanuts (moongphali),ghee,oil",45,9,2,3
"salt,chow chow (chayote squash),coriander (dhania) leaves,white urad dal (split),dry red chillies,tamarind,chana dal (bengal gram dal),sunflower oil",40,8,0,1
"salt,ghee,asafoetida (hing),wheat flour multigrain flour,red chilli powder,coriander (dhania) seeds,cumin seeds (jeera),rice flour,sunflower oil",60,9,1,2
"salt,cumin powder (jeera),amchur (dry mango powder),mustard seeds,brinjal (baingan eggsplant),methi leaves (fenugreek leaves),jaggery,red chilli powder,cumin seeds (jeera),coriander powder,turmeric powder,sunflower oil",25,12,1,3
"tomato,brinjal (baingan eggsplant),onion,cumin seeds (jeera),turmeric powder,sunflower oil,salt,coriander (dhania),cardamom (elaichi) podsseeds,dry red chillies,garam masala powder,mustard seeds,red chilli powder,curd,fennel powder,sesame seeds (til seeds),bay leaf (tej patta),black urad dal (split),gram flour (besan),curry leaves,ginger garlic paste,cinnamon stick (dalchini),coriander powder,cloves (laung)",51,24,1,5
"fish,salt,ginger,mustard oil,bay leaf (tej patta),water,corn flour mixed,dry red chilli,panch phoran masala,turmeric powder,green chillies",30,11,1,3
"salt,green beans (french beans),mustard oil,paneer,milk,ginger garlic paste,coriander (dhania) leaves,onion,cumin seeds (jeera),turmeric powder",20,10,1,3
"salt,milk,saffron strands,water,dry yeast,sugar,chocolate chips,flour (maida),butter",120,9,2,4
"lemon,salt,dill leaves,sour,red chilli flakes,gherkins,onion,eggs,black pepper powder,potato (aloo)",45,10,1,3
"salt,arhar dal (split toor dal),tamarind water,rice,brinjal (baingan eggsplant),mustard seeds,asafoetida (hing),black urad dal (split),coconut ( quantity ),curd,curry leaves,dry red chillies,methi seeds (fenugreek seeds),turmeric powder,chana dal (bengal gram dal),sunflower oil",55,16,1,4
"salt,cumin powder (jeera),ginger,sunflower oil,green chilli,ajwain (carom seeds),chaat masala powder,cloves garlic,black peppercorns,gram flour (besan),coriander (dhania) leaves,colocasia root (arbi),almond meal (badam powder),onion,wheat bread crumbs,cabbage (patta gobi muttaikose),cinnamon powder (dalchini)",70,17,1,5
"khoya (mawa),ghee,poha (flattened rice),pistachios,saffron strands,milk,sugar,cardamom powder (elaichi)",70,8,2,3
"bajra flour ( pearl millet),salt,sesame seeds (til seeds),water",40,4,0,1
"poha (flattened rice),milk,water,sugar,cardamom powder (elaichi)",35,5,0,1
"wheat brown bread,salt,green romaine lettuce,mustard sauce,nutralite cheesy garlic mayo,lemon,black pepper powder,pepper,eggs",20,9,1,2
"salt,wheat flour,ghee,ragi flour (finger millet nagli),sunflower oil",25,5,1,1
"salt,baking powder,eggs,baking soda,curd,sugar,red seedless grapes,vanilla,vinegar,wheat flour brown bread flour,butter",40,11,2,4
"salt,arhar dal (split toor dal),dill leaves,mustard seeds,cloves garlic,curry leaves,white urad dal (split),dry red chillies,onion,turmeric powder,chana dal (bengal gram dal)",25,11,0,2
"cashew nuts,salt,mustard seeds,coconut,asafoetida (hing),red poha (flattened red rice),curry leaves,white urad dal (split),lemon,chana dal (bengal gram dal),sunflower oil",20,11,1,3
"tomato,salt,carrot,sweet chutney (date tamarind),green bell pepper (capsicum),onion,hakka noodles,sunflower oil air the noodles,red chilli sauce,green chutney (coriander mint),cabbage (patta gobi muttaikose)",45,11,0,2
"salt,mustard seeds,green peas (matar),turmeric powder,green chillies,cauliflower (gobi) florets,sunflower oil",20,7,0,1
"coriander (dhania) leaves,ajwain (carom seeds),onion ground,black peppercorns,green chilli paste,salt,black cardamom (badi elaichi),mustard oil,cardamom (elaichi) podsseeds,mace (javitri),mint leaves (pudina),garam masala powder,coriander powder,red chilli powder,curd,chicken,lemon,garlic paste,cashew nuts,bay leaves (tej patta),cinnamon stick (dalchini),ghee,oil,ginger paste,cloves (laung)",100,25,3,5
"baking powder,salt,cinnamon powder (dalchini),milk,baking soda,curd,sugar,vanilla,bananas robusta variety,flour (maida),sunflower oil",50,11,0,2
"salt,hung curd (greek yogurt),lot fat,celery,apple,pepper,walnuts,red grapes",30,8,0,1
"salt,date syrup,dill leaves,mustard sauce,apple cider vinegar,cashew nuts least,cloves garlic,virgin olive oil,lemon",10,9,1,2
"ghee,mango (ripe),palm sugar,badam (almond),cocunut,cardamom powder (elaichi),coconut milk",20,7,2,3
"can bamboo (store bought),salt,rice vermicelli noodles (thin),ginger,corn flour,tofu cubes,sesame (gingelly) oil,soy sauce,cloves garlic,baby corn,onion,canola oil,black pepper powder,mixed vegetables broccoli florets",35,14,2,5
"coconut unsweetened coconut (for the bs),badam (almond),lemon,lemon,chia seeds,dates",20,6,1,1
"salt,yellow moong dal (split),cumin powder (jeera),wheat flour,ghee,red chilli powder,turmeric powder,sunflower oil",30,8,1,2
"salt,red chillies,coriander (dhania) leaves,sugar,vinegar,lebanese cucumber",20,6,0,1
"mutton kheema,salt,ginger,bay leaf (tej patta),fennel seeds (saunf),ghee,milk,curd,dry ginger powder,cinnamon stick (dalchini),cumin seeds (jeera),cardamom powder (elaichi),turmeric powder,cloves (laung)",55,14,2,5
"basmati rice,salt,chana dal (bengal gram dal),mustard seeds,asafoetida (hing),curry leaves,white urad dal (split),badi (wadi),lemon,turmeric powder,green chillies,sunflower oil",65,12,0,2
"salt,cumin powder (jeera),coconut,chaat masala powder,banana,sunflower oil basting,black pepper powder,green chillies",40,8,0,1
"salt,arhar dal (split toor dal),asafoetida (hing),mustard seeds,fennel seeds (saunf),carrot,dry red chilli,curry leaves,dry red chillies,sunflower oil",40,10,0,2
"salt,coriander (dhania) leaves,red chilli powder,water,dry yeast,ginger garlic paste,vivatta maida,sugar,onion,button mushrooms,turmeric powder,green chillies,sunflower oil",47,13,0,3
"cashew nuts,salt,wheat brown bread,ginger,kalonji (onion nigella seeds),green chilli,mustard seeds,paneer,coconut,curry leaves,onion,turmeric powder,sunflower oil",20,13,2,4
"tomato,salt,black pepper powder ground,chicken (whole),coriander (dhania) leaves,tandoori masala,potato (aloo),chaat masala powder,red chilli powder,green peas (matar),carrot,cashew nuts ground paste,curd,lemon,tomato ketchup",60,15,2,5
"tomato,salt,cumin powder (jeera),black beans,dried oregano leaves,cloves garlic,virgin olive oil,carrot,red chilli flakes black pepper powder,orange juice,onion,lemon,green bell pepper (capsicum),coriander (dhania) leaves oregano leaves,dried oregano",25,15,0,3
"wheat brown bread,salt,onion(caramelize),red chilli powder (or cayenne pepper),eggs,lemon,black pepper powder,eggs,butter",40,9,3,4
"guava cubes,guava juice,lemon,papaya juice,champagne sparkling wine,papaya cubes",10,6,0,1
"salt,hung curd (greek yogurt),yellow zucchinilengthwise,cloves garlic,coriander (dhania) leaves,onion,black pepper powder,cucumber,red bell pepper (capsicum)lengthwise,carrotinto,tortillas",25,11,1,3
"cheese,baking powder,wheat flour,salt,britannia,spinach,butter cold,paneer,mozzarella cheese,water,red chilli flakes,sugar,red yellow green bell peppers (capsicum),black pepper powder,dried oregano,bajra flour ( pearl millet),sunflower oil",65,17,4,5
"salt,ginger,amchur (dry mango powder),asafoetida (hing),brinjal (baingan eggsplant),jaggery,figaro pure olive oil,red chilli powder,garlic,onion,coriander powder,turmeric powder,green chillies",60,13,1,4
"salt,mozzarella cheese,cloves garlic,virgin olive oil,italian,onion,parsley leaves,spring onion (bulb greens) (white greens),eggs,pepper,potato (aloo),sweet potatoes",40,12,2,4
"salt,elephant yam (suransenairatalu),amchur (dry mango powder),red chilli powder,curd,coriander (dhania) leaves,cumin seeds (jeera),turmeric powder,garam masala powder,sunflower oil",40,10,0,2
"salt,mint leaves (pudina),virgin olive oil,white vinegar,iceberg lettuce,coriander (dhania) leaves,onion,pepper,cherry tomato,mini pita breads,aloo tikki (potato)",45,11,0,2
"baking powder,wheat flour,salt,milk,cawanprash,water,dry ginger powder,brown sugar (demerara sugar),caster sugar,flax seed powder (flax meal),butter",60,11,1,3
"salt,green chilli,tamarind water,coconut,cardamom (elaichi) podsseeds,cloves garlic,black peppercorns,coriander (dhania) seeds,onion,cinnamon stick (dalchini),dry red chillies,cumin seeds (jeera),cloves (laung),potato (aloo),turmeric powder,black eyed beans (lobia)",105,16,0,4
"salt,cumin powder (jeera),ginger,coriander powder,mint leaves (pudina),coriander (dhania) leaves,sunflower oil greasing,onion,avarekalu lilva beans,potato (aloo),turmeric powder,green chillies,sweet potatoes,garam masala powder",40,14,0,3
